label,feature,mean,std,median,p10,p90
AGGRESSIVE,accel_mean,1.8952871296655671,0.6134340874347586,1.8332038155112627,1.2779411514512435,2.6016434405024467
AGGRESSIVE,accel_std,1.0156986463833395,0.5502131882051633,0.8905793200156792,0.5952109734302634,1.5300984389130667
AGGRESSIVE,accel_min,0.22053478704849366,0.11914698087607078,0.20041194345814034,0.09238364197926865,0.3634149320674653
AGGRESSIVE,accel_max,6.425226487582408,4.495559207630381,5.194381172462357,3.387108202093853,10.49187912567915
AGGRESSIVE,accel_rms,2.164367358367219,0.7863249419147307,2.0552978928840124,1.4446726912587136,3.087945332495879
AGGRESSIVE,accel_p50,1.7149397254074406,0.5287032361962523,1.6751765571883843,1.1585142671868867,2.3442346654529675
AGGRESSIVE,accel_p75,2.393798119024457,0.7814565170108646,2.328559409295372,1.6277644131381708,3.2682389783682297
AGGRESSIVE,accel_p90,3.1779112033318064,1.1824999225716193,3.0126322399777252,2.1147713030081934,4.472642782568938
AGGRESSIVE,accel_p95,3.77132084927385,1.6087693897452748,3.465941441087872,2.3734767866449262,5.525989926961886
AGGRESSIVE,accel_energy,5.3027929762426975,5.028956149489697,4.2242494284934615,2.0870807202929185,9.53543152446306
AGGRESSIVE,accel_peak_count,67.24211853720051,47.403496091170815,60.0,12.0,135.0
AGGRESSIVE,accel_sma,1.8952871296655671,0.6134340874347586,1.8332038155112627,1.2779411514512435,2.6016434405024467
AGGRESSIVE,jerk_mean,68.11420995747993,23.511533698007756,67.21569615986095,41.27032744076057,95.65573296903575
AGGRESSIVE,jerk_std,60.29115988693024,33.69432997905104,54.82171315559448,34.31345309059602,82.59811051013766
AGGRESSIVE,jerk_min,0.327464076158255,0.35623383797453123,0.20975295912835343,0.024509235013005504,0.8078493751221002
AGGRESSIVE,jerk_max,372.1506481080229,334.9731188717191,302.6840465268186,175.3492381550416,497.3982998899563
AGGRESSIVE,jerk_rms,91.64568374263897,39.544131038081716,87.72115113905402,54.49289854058775,127.06669743322493
AGGRESSIVE,jerk_p90,143.52266975810755,51.086862332350904,140.50182730146335,86.62540918318534,201.0210302748702
AGGRESSIVE,jerk_p95,179.16827384527969,70.97702914168924,172.30774631579172,105.6123217431025,256.2124587729447
AGGRESSIVE,jerk_energy,9962.669648212777,12296.864836078214,7695.000357160758,2969.4811096146896,16145.949054550982
AGGRESSIVE,jerk_peak_count,245.6418663303909,29.31419331023454,253.0,217.0,270.0
AGGRESSIVE,gyro_mean,0.226811780564605,0.3275864884921207,0.18230223905588425,0.057111141074373,0.3262001414112721
AGGRESSIVE,gyro_std,0.15083434484769906,0.3072918340910793,0.07947807594741148,0.029758394114510624,0.19285910015951552
AGGRESSIVE,gyro_min,0.02383733358707861,0.02753185965551365,0.016287313581690156,0.00426509109480618,0.04481722089473226
AGGRESSIVE,gyro_max,0.856454615245659,1.7037125263578827,0.44452037287112167,0.16985634104508657,1.2402152201010663
AGGRESSIVE,gyro_rms,0.2779804570496877,0.44571585974544997,0.20065779905248207,0.06519389212859167,0.3764742131154155
AGGRESSIVE,gyro_p90,0.4224757703455586,0.7249538809863522,0.27980712561738186,0.09951596139425149,0.5638624501747236
AGGRESSIVE,gyro_p95,0.5223796043310296,0.9446020903766128,0.3295492626994522,0.11572567184796653,0.6830446615564322
AGGRESSIVE,gyro_energy,0.2759357621301789,1.2616841421598093,0.040263552320586274,0.004250244890696851,0.14173284735944477
AGGRESSIVE,gyro_peak_count,10.03656998738966,39.50909259675388,0.0,0.0,12.0
AGGRESSIVE,gyro_sma,0.226811780564605,0.3275864884921207,0.18230223905588425,0.057111141074373,0.3262001414112721
AGGRESSIVE,motion_mean,2.122098910230172,0.8597400892541321,2.002463405141911,1.3816068397278585,2.9140811290260493
AGGRESSIVE,motion_std,1.0822504546885456,0.6948504149184883,0.9073666435475147,0.6020288498633081,1.633211918033674
AGGRESSIVE,motion_max,6.857753688721141,5.104606402183075,5.47492392360163,3.5204838011838087,11.408674568713721
AGGRESSIVE,motion_rms,2.398189375088684,1.0701531072087271,2.215324868251118,1.5436046139422943,3.410419566501325
AGGRESSIVE,motion_energy,6.896539951656746,9.267779247626558,4.907664271891833,2.3827152743156534,11.630961688484678
NORMAL,accel_mean,1.265569925876407,0.47529136451992526,1.2035487280731585,0.6791528824302688,1.9440267565850233
NORMAL,accel_std,0.7387141695691306,0.316465051937445,0.7024615115746676,0.35293530752513547,1.2100089204993503
NORMAL,accel_min,0.1306972740364369,0.07190881988917888,0.11930382840732544,0.052425675727965686,0.2360962470325382
NORMAL,accel_max,4.369991916596937,2.232364292843918,3.9701295441964195,1.9727090016956395,7.359129980544667
NORMAL,accel_rms,1.4687249713864372,0.562374279564701,1.4011191476904181,0.7713679773160462,2.285041963386467
NORMAL,accel_p50,1.1042884068653454,0.4166796480516931,1.0372309801765898,0.6127017512722238,1.712545007407062
NORMAL,accel_p75,1.6418300328222073,0.6199812490916292,1.589629066682555,0.8679063124985247,2.5092665738801374
NORMAL,accel_p90,2.255934614776963,0.8690562313494608,2.1651828015825605,1.164454120186414,3.509114645544482
NORMAL,accel_p95,2.6899943987000237,1.0728012721647808,2.5715873965721276,1.3659976469966228,4.34687942101248
NORMAL,accel_energy,2.473417871890007,1.8914660818404507,1.9631348660247239,0.5950085564286484,5.22141677443708
NORMAL,accel_peak_count,28.13493800145879,31.86612720539718,17.0,0.0,75.0
NORMAL,accel_sma,1.265569925876407,0.47529136451992526,1.2035487280731585,0.6791528824302688,1.9440267565850233
NORMAL,jerk_mean,56.09443246662627,29.32985961275096,58.27102897385679,19.237968439849507,97.27022367303937
NORMAL,jerk_std,47.42372739244483,26.52856562331878,47.53975956907856,15.442069187643986,85.51605611781328
NORMAL,jerk_min,0.24064765320245465,0.2933100518733523,0.14539215867642669,0.018307661025783708,0.5782569533322124
NORMAL,jerk_max,266.9936996118829,177.59501094930772,254.15489486628778,79.25002358378667,486.94225195718275
NORMAL,jerk_rms,73.60222160462757,39.27230203774057,75.17007120717578,24.666191677254165,132.04083355947182
NORMAL,jerk_p90,119.44412021226672,62.53255919727372,125.67837708627248,40.581793063476205,205.79490029692974
NORMAL,jerk_p95,147.63713064893392,79.50628281024916,150.76156706402722,49.13678826189075,259.00125497611464
NORMAL,jerk_energy,6959.6007324802285,6598.61369850047,5650.539605291877,608.4210118590427,17434.78172708014
NORMAL,jerk_peak_count,222.82859226841722,47.48355098646047,245.0,153.0,267.0
NORMAL,gyro_mean,0.08783980552243546,0.09205305899004346,0.07117577783651255,0.04623574473517999,0.1311015500147987
NORMAL,gyro_std,0.049907877028076864,0.09087257421586313,0.03463434630157691,0.022289331596712203,0.065205056307219
NORMAL,gyro_min,0.011398868091622532,0.01089707578412717,0.008606743185806032,0.003733067987386972,0.021675103491442433
NORMAL,gyro_max,0.2828517740272747,0.4443219476335534,0.20228009936289953,0.13007747851072418,0.3778800203314127
NORMAL,gyro_rms,0.10232549414732216,0.12832658058725493,0.07929024703229691,0.05223534169432168,0.14890313162031346
NORMAL,gyro_p90,0.1541711783903849,0.22706853993513856,0.11664927728551723,0.0779318674851565,0.2151513448993868
NORMAL,gyro_p95,0.1823560610609575,0.2685086254902872,0.13539586214551913,0.08993266860139294,0.24737156313162362
NORMAL,gyro_energy,0.0269382180377109,0.2291389605871549,0.006286943274442669,0.0027285309219225408,0.022172142606336393
NORMAL,gyro_peak_count,1.3340627279358133,11.241821705874479,0.0,0.0,0.0
NORMAL,gyro_sma,0.08783980552243546,0.09205305899004346,0.07117577783651255,0.04623574473517999,0.1311015500147987
NORMAL,motion_mean,1.3534097313988425,0.49614111855188153,1.280899578117612,0.7590152404956173,2.0572779861771466
NORMAL,motion_std,0.7541833214431858,0.339087477214373,0.7074241546166149,0.35989674727411636,1.223860344068954
NORMAL,motion_max,4.5128466358413215,2.3631410463554725,4.064746732525305,2.0694128646748395,7.518651176562899
NORMAL,motion_rms,1.5532646130403278,0.5907755512767625,1.4710154286390535,0.8444177755706864,2.4180665716872656
NORMAL,motion_energy,2.761646710109683,2.286623986811338,2.1638863912941386,0.7130413796997462,5.8470459451114065
ROAD_ANOMALY,accel_mean,1.5913924366882963,0.646144778201739,1.3830313881434404,0.9292314001015298,2.6001468192701083
ROAD_ANOMALY,accel_std,0.8513695304802412,0.40263067394962415,0.7437164903782982,0.42313380210543033,1.4305025671461788
ROAD_ANOMALY,accel_min,0.19291686000885805,0.10871395114343807,0.1755292537249337,0.07740077800032409,0.33375234569568135
ROAD_ANOMALY,accel_max,5.152609394382517,2.6305431023383803,4.303080896872153,2.6090414873564396,8.689572264611941
ROAD_ANOMALY,accel_rms,1.8097793540351117,0.7494485897575746,1.5777913874364073,1.0346140429576498,2.963019296733138
ROAD_ANOMALY,accel_p50,1.4341679877027735,0.5836450254662816,1.2377816484356923,0.850122600392959,2.3256269945509693
ROAD_ANOMALY,accel_p75,2.0362992144637824,0.8433937788377865,1.7668941366147624,1.175979840086032,3.36413949442518
ROAD_ANOMALY,accel_p90,2.72286687336612,1.1597711526416445,2.3784175101761527,1.5206278782470681,4.5040385926589215
ROAD_ANOMALY,accel_p95,3.194472988096615,1.400644131890696,2.785397247874556,1.7332621003304214,5.291844099731251
ROAD_ANOMALY,accel_energy,3.8369744989813626,3.343428886166898,2.4894256622685034,1.0704277224187844,8.779483461082293
ROAD_ANOMALY,accel_peak_count,47.127401415571285,52.62210459717699,25.0,1.0,134.0
ROAD_ANOMALY,accel_sma,1.5913924366882963,0.646144778201739,1.3830313881434404,0.9292314001015298,2.6001468192701083
ROAD_ANOMALY,jerk_mean,76.8741773904851,37.27574606430523,64.98357810369302,38.6729004895659,136.07651146127563
ROAD_ANOMALY,jerk_std,63.868352239698744,31.78382883614884,54.439600910055404,30.226185861451047,110.86477514453081
ROAD_ANOMALY,jerk_min,0.3523961542150424,0.4180659263857473,0.22700365989459648,0.025247794964587435,0.7793221106178736
ROAD_ANOMALY,jerk_max,362.0672215644651,203.7903280791167,303.3274682668278,154.11591365173106,644.8601047746431
ROAD_ANOMALY,jerk_rms,100.12642990225798,48.61272078831211,85.06056326388327,49.50613147325381,175.04279035673105
ROAD_ANOMALY,jerk_p90,162.25196401494344,78.48459240305603,136.79044718417202,80.02265663776959,281.28550362700867
ROAD_ANOMALY,jerk_p95,199.89341220491326,98.11337500750113,170.08906643243918,96.86381029960185,347.34472714069693
ROAD_ANOMALY,jerk_energy,12388.498587414177,12277.23146622728,7235.299422769089,2450.858468731139,30639.991485727507
ROAD_ANOMALY,jerk_peak_count,249.77249747219415,22.01442242423459,251.0,224.0,277.0
ROAD_ANOMALY,gyro_mean,0.129541919006833,0.08928059289908388,0.11316833835233242,0.044950278005356746,0.23969527218407394
ROAD_ANOMALY,gyro_std,0.051104736379868385,0.07116590938016273,0.04078260444537168,0.017583066857636307,0.0787707538031293
ROAD_ANOMALY,gyro_min,0.04472850763138789,0.06588317426948258,0.014885892898774537,0.005275995960037151,0.12707863707678888
ROAD_ANOMALY,gyro_max,0.3191125325137599,0.4061592525125379,0.26434210464169045,0.11143901193871308,0.4687760862681672
ROAD_ANOMALY,gyro_rms,0.14228249778932722,0.11038163166748494,0.12685024411024498,0.04917493613996129,0.24740620137587058
ROAD_ANOMALY,gyro_p90,0.19300106476597723,0.14284956423734485,0.18298398619487757,0.07052440126497632,0.3269302374436458
ROAD_ANOMALY,gyro_p95,0.21948722593570588,0.22425484550782512,0.20405651652237125,0.08012448296385784,0.34754039486455973
ROAD_ANOMALY,gyro_energy,0.03242841378674621,0.11008921249152634,0.01609098443082874,0.0024181846253884566,0.06121039105300009
ROAD_ANOMALY,gyro_peak_count,0.5156723963599595,5.861651268144426,0.0,0.0,0.0
ROAD_ANOMALY,gyro_sma,0.129541919006833,0.08928059289908388,0.11316833835233242,0.044950278005356746,0.23969527218407394
ROAD_ANOMALY,motion_mean,1.7209343556951293,0.6598397124815951,1.5055816897944838,1.0777158320252382,2.7463516742498846
ROAD_ANOMALY,motion_std,0.8622429548864418,0.4180242703802716,0.7521338856464945,0.42753636654679006,1.446026697179323
ROAD_ANOMALY,motion_max,5.323967451332855,2.725805957889558,4.427210899743311,2.7951391244741584,9.092603113628469
ROAD_ANOMALY,motion_rms,1.9314241296887666,0.7647297155948991,1.698372417327151,1.1824180711446453,3.110491311171939
ROAD_ANOMALY,motion_energy,4.315210706657864,3.6248675953920353,2.88446886793767,1.3981138322052775,9.67521351334237
