source,path,label,group,label_source,accel_file,gyro_file
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\1. Aggressive,AGGRESSIVE,Driving Behaviour/1. Aggressive,folder name: Driving Behaviour/*Aggressive,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\1. Aggressive\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\1. Aggressive\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\2. Aggressive,AGGRESSIVE,Driving Behaviour/2. Aggressive,folder name: Driving Behaviour/*Aggressive,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\2. Aggressive\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\2. Aggressive\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\3. Standard,NORMAL,Driving Behaviour/3. Standard,folder name: Driving Behaviour/*Standard or *Slow,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\3. Standard\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\3. Standard\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\4. Standard,NORMAL,Driving Behaviour/4. Standard,folder name: Driving Behaviour/*Standard or *Slow,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\4. Standard\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\4. Standard\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\5. Slow,NORMAL,Driving Behaviour/5. Slow,folder name: Driving Behaviour/*Standard or *Slow,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\5. Slow\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\5. Slow\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\6. Slow,NORMAL,Driving Behaviour/6. Slow,folder name: Driving Behaviour/*Standard or *Slow,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\6. Slow\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Driving Behaviour\6. Slow\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\1. Bump,ROAD_ANOMALY,Road Anomalies/1. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\1. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\1. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\10. Pothole,ROAD_ANOMALY,Road Anomalies/10. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\10. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\10. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\11. Pothole,ROAD_ANOMALY,Road Anomalies/11. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\11. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\11. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\12. Pothole,ROAD_ANOMALY,Road Anomalies/12. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\12. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\12. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\13. Pothole,ROAD_ANOMALY,Road Anomalies/13. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\13. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\13. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\14. Pothole,ROAD_ANOMALY,Road Anomalies/14. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\14. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\14. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\15. Pothole,ROAD_ANOMALY,Road Anomalies/15. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\15. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\15. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\16. Pothole,ROAD_ANOMALY,Road Anomalies/16. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\16. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\16. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\17. Pothole,ROAD_ANOMALY,Road Anomalies/17. Pothole,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\17. Pothole\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\17. Pothole\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\2. Bump,ROAD_ANOMALY,Road Anomalies/2. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\2. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\2. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\3. Bump,ROAD_ANOMALY,Road Anomalies/3. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\3. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\3. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\4. Bump,ROAD_ANOMALY,Road Anomalies/4. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\4. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\4. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\5. Bump,ROAD_ANOMALY,Road Anomalies/5. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\5. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\5. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\6. Bump,ROAD_ANOMALY,Road Anomalies/6. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\6. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\6. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\7. Bump,ROAD_ANOMALY,Road Anomalies/7. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\7. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\7. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\8. Bump,ROAD_ANOMALY,Road Anomalies/8. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\8. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\8. Bump\Gyroscope.csv
STRIDE,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\9. Bump,ROAD_ANOMALY,Road Anomalies/9. Bump,folder name: Road Anomalies/*Bump or *Pothole,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\9. Bump\Accelerometer.csv,C:\Users\Admin\Desktop\LAU\Spring 2026\Capstone\Project-Sentry\ml\data\raw\stride\Road Data\Road Anomalies\9. Bump\Gyroscope.csv
